"id","label","file","width","height","ratio","localAvailable","exists","localPath"
"3px-tile","3Px Tile","3px-tile.png","100","100","1:1","True","True","assets/textures/transparent/3px-tile.png"
"45-degree-fabric-dark","45 Degree Fabric (Dark)","45-degree-fabric-dark.png","315","315","1:1","True","True","assets/textures/transparent/45-degree-fabric-dark.png"
"45-degree-fabric-light","45 Degree Fabric (Light)","45-degree-fabric-light.png","315","315","1:1","True","True","assets/textures/transparent/45-degree-fabric-light.png"
"60-lines","60º lines","60-lines.png","31","31","1:1","True","True","assets/textures/transparent/60-lines.png"
"absurdity","Absurdity","absurdity.png","4","4","1:1","True","True","assets/textures/transparent/absurdity.png"
"ag-square","AG Square","ag-square.png","50","50","1:1","True","True","assets/textures/transparent/ag-square.png"
"always-grey","Always Grey","always-grey.png","35","35","1:1","True","True","assets/textures/transparent/always-grey.png"
"arabesque","Arabesque","arabesque.png","110","110","1:1","True","True","assets/textures/transparent/arabesque.png"
"arches","Arches","arches.png","103","23","103:23","True","True","assets/textures/transparent/arches.png"
"argyle","Argyle","argyle.png","106","96","53:48","True","True","assets/textures/transparent/argyle.png"
"asfalt-dark","Asfalt (Dark)","asfalt-dark.png","466","349","466:349","True","True","assets/textures/transparent/asfalt-dark.png"
"asfalt-light","Asfalt (Light)","asfalt-light.png","466","349","466:349","True","True","assets/textures/transparent/asfalt-light.png"
"assault","Assault","assault.png","154","196","11:14","True","True","assets/textures/transparent/assault.png"
"axiom-pattern","Axiom Pattern","axiom-pattern.png","81","81","1:1","True","True","assets/textures/transparent/axiom-pattern.png"
"az-subtle","Az Subtle","az-subtle.png","100","100","1:1","True","True","assets/textures/transparent/az-subtle.png"
"back-pattern","Back Pattern","back-pattern.png","28","28","1:1","True","True","assets/textures/transparent/back-pattern.png"
"basketball","Basketball","basketball.png","227","196","227:196","True","True","assets/textures/transparent/basketball.png"
"batthern","Batthern","batthern.png","100","99","100:99","True","True","assets/textures/transparent/batthern.png"
"bedge-grunge","Bedge Grunge","bedge-grunge.png","588","375","196:125","True","True","assets/textures/transparent/bedge-grunge.png"
"beige-paper","Beige Paper","beige-paper.png","200","200","1:1","True","True","assets/textures/transparent/beige-paper.png"
"billie-holiday","Billie Holiday","billie-holiday.png","100","100","1:1","True","True","assets/textures/transparent/billie-holiday.png"
"binding-dark","Binding Dark","binding-dark.png","180","180","1:1","True","True","assets/textures/transparent/binding-dark.png"
"binding-light","Binding Light","binding-light.png","180","180","1:1","True","True","assets/textures/transparent/binding-light.png"
"black-felt","Black Felt","black-felt.png","531","337","531:337","True","True","assets/textures/transparent/black-felt.png"
"black-linen","Black Linen","black-linen.png","482","490","241:245","True","True","assets/textures/transparent/black-linen.png"
"black-linen-2","Black Linen 2","black-linen-2.png","640","640","1:1","True","True","assets/textures/transparent/black-linen-2.png"
"black-mamba","Black Mamba","black-mamba.png","192","192","1:1","True","True","assets/textures/transparent/black-mamba.png"
"black-orchid","Black Orchid","black-orchid.png","300","300","1:1","True","True","assets/textures/transparent/black-orchid.png"
"black-paper","Black Paper","black-paper.png","400","400","1:1","True","True","assets/textures/transparent/black-paper.png"
"black-scales","Black Scales","black-scales.png","40","40","1:1","True","True","assets/textures/transparent/black-scales.png"
"black-thread","Black Thread","black-thread.png","49","28","7:4","True","True","assets/textures/transparent/black-thread.png"
"black-thread-light","Black Thread (Light)","black-thread-light.png","49","28","7:4","True","True","assets/textures/transparent/black-thread-light.png"
"black-twill","Black Twill","black-twill.png","14","14","1:1","True","True","assets/textures/transparent/black-twill.png"
"blizzard","Blizzard","blizzard.png","25","25","1:1","True","True","assets/textures/transparent/blizzard.png"
